id,name,ra_deg,dec_deg,l_deg,b_deg,dist_kpc,dist_src,X_kpc,Y_kpc,Z_kpc,Rgc_kpc,V_mag,M_V,FeH,EBV,BV,vr_kms,conc_c,Rh_arcmin,logTh,muV,pmRA,pmDE,e_pmRA,e_pmDE,plx,Nstar_gaia,Mass_Msun,ML_V,rh_pc,sigma0,Vesc_kms,logTRH,RV_bh,in_harris,in_vb2021,in_bh2018,has_dist
TERZAN8,TERZAN8,295.44,-33.999,5.76,-24.56,20,GaiaEDR3plx,-9.8237,-1.8256,-8.3129,12.998,12.4,-5.06,-1.87,0.14,,130,0.6,1,,22.82,-2.496,-1.581,0.027,0.026,0.05,354,43900,4.02,15.26,1.4,4.5,10.07,148.2,True,True,True,True
NGC6426,NGC6426,266.23,3.17,28.09,16.23,19.608,GaiaEDR3plx,-8.3338,-8.8646,5.4803,13.344,11.01,-6.6,-2.26,0.36,1.02,-162,1.7,0.96,8.86,20.37,-1.828,-2.999,0.026,0.026,0.051,130,,,,,,,,True,True,False,True
NGC6864,M 75,301.52,-21.921,20.3,-25.75,20,BH2018,-8.6201,-6.2497,-8.6889,13.743,8.52,-8.3,-1.32,0.16,0.87,-189.3,1.88,0.47,8.72,15.55,-0.598,-2.81,0.026,0.026,0.069,367,5.86e+05,2.94,2.46,11.8,47.1,9.31,-188.6,True,True,True,True
TERZAN1,HP 2,263.95,-30.481,357.57,1,22.727,GaiaEDR3plx,-14.428,0.96346,0.39665,14.466,15.9,-3.25,-0.35,1.64,,35,2.5,3.82,,25.09,-2.806,-4.861,0.055,0.055,0.044,34,2.23e+05,3.22,2.27,7.8,30.2,8.99,57.7,True,True,True,True
IC4499,IC4499,225.08,-82.214,307.35,-20.47,18.2,BH2018,-2.0694,13.554,-6.3648,15.117,9.76,-7.28,-1.6,0.23,0.91,38.7,1.11,1.5,9.45,20.92,0.466,-0.489,0.025,0.025,0.054,589,1.67e+05,2.25,9.83,3.1,11.2,10.06,38.7,True,True,True,True
PAL1,PAL1,53.333,79.581,130.07,19.03,8.9286,GaiaEDR3plx,13.708,-6.4592,2.9113,15.431,13.52,-1.88,-0.8,0.15,0.96,,1.5,0.48,7.53,22.16,-0.252,0.007,0.034,0.037,0.112,92,,,,,,,,True,True,False,True
NGC6715,M 54,283.76,-30.48,5.61,-14.09,23.5,BH2018,-14.409,-2.2282,-5.721,15.662,7.6,-9.96,-1.59,0.15,0.85,141.9,1.84,0.49,9.03,14.82,-2.679,-1.387,0.025,0.025,0.053,1122,1.41e+06,2.04,3.2,16.2,53.5,9.77,142.3,True,True,True,True
PAL12,PAL12,326.66,-21.253,30.51,-47.68,19.05,BH2018,-2.775,-6.5115,-14.085,15.764,11.99,-4.43,-0.93,0.02,1.07,27.8,1.94,1.28,,20.59,-3.22,-3.333,0.029,0.028,0.05,185,11900,2.92,6.98,1,3.6,9.18,28.2,True,True,True,True
NGC2298,NGC2298,102.25,-36.005,245.63,-16.01,10.8,BH2018,12.559,9.4561,-2.9787,16,9.29,-6.25,-1.85,0.13,0.75,148.9,1.28,0.78,8.36,18.79,3.32,-2.175,0.025,0.026,0.121,1047,11600,0.46,2.95,1.6,6.1,8.52,144.7,True,True,True,True
NGC1851,NGC1851,78.528,-40.047,244.51,-35.04,11.4,BH2018,12.292,8.4252,-6.5453,16.276,7.14,-8.35,-1.26,0.02,0.76,320.9,2.24,0.52,8.5,14.15,2.145,-0.65,0.024,0.024,0.088,2497,3.02e+05,2.02,1.65,10.2,42.9,9.02,320.2,True,True,True,True
NGC5466,NGC5466,211.36,28.534,42.15,73.59,16.9,BH2018,4.7353,-3.204,16.212,17.19,9.04,-7.06,-2.22,0,0.67,107.7,1.43,2.25,9.37,21.28,-5.342,-0.822,0.025,0.024,0.057,2210,45600,1.13,10.72,1.6,5.3,9.83,106.9,True,True,True,True
NGC1261,NGC1261,48.068,-55.216,270.54,-52.13,15.49,BH2018,8.1854,9.5085,-12.228,17.519,8.29,-7.76,-1.35,0.01,0.72,68.2,1.27,0.75,8.81,17.65,1.596,-2.064,0.025,0.025,0.068,1218,1.67e+05,2.12,3.08,5.6,21.2,9.19,71.5,True,True,True,True
NGC5053,NGC5053,199.11,17.7,335.69,78.94,17.2,BH2018,5.268,1.3584,16.881,17.736,9.47,-6.67,-2.29,0.03,0.65,44,0.82,3.5,9.59,22.19,-0.329,-1.213,0.025,0.025,0.05,1453,56600,1.66,13.41,1.6,5.3,10,42.5,True,True,True,True
NGC5024,M 53,198.23,18.168,332.96,79.76,17.9,BH2018,5.4407,1.4466,17.615,18.493,7.61,-8.75,-2.07,0.01,0.64,-79.1,1.78,1.11,9.42,17.39,-0.133,-1.331,0.024,0.024,0.067,3398,3.8e+05,1.59,6.23,5.9,22.4,9.92,-63.1,True,True,True,True
PAL5,PAL5,229.02,-0.121,0.85,45.86,23.55,BH2018,-8.1237,-0.2433,16.9,18.753,11.75,-5.12,-1.38,0.03,,-55,0.74,2.96,9.59,24.67,-2.73,-2.654,0.028,0.027,0.048,233,13900,1.6,25.1,0.6,1.9,10.24,-58.4,True,True,True,True
NGC1904,M 79,81.044,-24.524,227.23,-29.35,13.27,BH2018,16.129,8.4909,-6.5042,19.354,7.73,-7.8,-1.54,0.01,0.65,207.5,1.72,0.8,8.66,16.23,2.469,-1.594,0.025,0.025,0.088,1556,1.69e+05,1.72,2.59,6.5,26.2,9.1,205.6,True,True,True,True
NGC4147,NGC4147,182.53,18.543,252.85,77.19,18.2,BH2018,9.4649,3.8559,17.747,20.479,10.32,-6.11,-1.83,0.02,0.59,183.2,1.8,0.43,8.37,17.63,-1.707,-2.09,0.027,0.027,0.029,347,32900,1.51,2.49,3.1,11.9,8.59,179.1,True,True,True,True
RUP106,RUP106,189.67,-51.15,300.89,11.67,24.3,BH2018,-3.9425,20.422,4.9153,21.372,10.9,-6.32,-1.8,0.21,,-44,0.7,1.1,,21.82,-1.254,0.401,0.026,0.026,0.067,302,1.02e+05,2.62,10.47,2.5,8.2,9.94,-38.4,True,True,True,True
