id,name,ra_deg,dec_deg,l_deg,b_deg,dist_kpc,dist_src,X_kpc,Y_kpc,Z_kpc,Rgc_kpc,V_mag,M_V,FeH,EBV,BV,vr_kms,conc_c,Rh_arcmin,logTh,muV,pmRA,pmDE,e_pmRA,e_pmDE,plx,Nstar_gaia,Mass_Msun,ML_V,rh_pc,sigma0,Vesc_kms,logTRH,RV_bh,in_harris,in_vb2021,in_bh2018,has_dist
HP1,BH 229,262.77,-29.982,357.42,2.12,6.8,BH2018,1.4865,0.30589,0.25155,1.5384,11.59,-6.39,-1.5,1.19,,53.1,2.5,3.1,9.49,21.29,2.523,-10.093,0.039,0.037,0.124,25,1.11e+05,5.04,2.55,5.5,21.3,8.95,40.1,True,True,True,True
NGC6637,M 69,277.85,-32.348,1.72,-10.27,8.6207,GaiaEDR3plx,-0.20375,-0.25461,-1.537,1.5712,7.64,-7.47,-0.71,0.17,1.01,39.9,1.39,0.83,8.69,16.83,-5.034,-5.832,0.028,0.028,0.116,388,,,,,,,,True,True,False,True
NGC6342,NGC6342,260.29,-19.587,4.9,9.73,8.43,BH2018,-0.0033694,-0.70971,1.4247,1.5917,9.66,-6.49,-0.65,0.44,1.26,80.9,2.5,0.88,8.58,17.44,-2.903,-7.116,0.027,0.026,0.141,194,46400,2.82,2.1,4.5,17,8.53,116,True,True,True,True
NGC6638,NGC6638,277.73,-25.497,7.9,-7.15,8.6957,GaiaEDR3plx,-0.27115,-1.1859,-1.0823,1.6283,9.02,-6.78,-0.99,0.4,1.15,18.1,1.4,0.66,8.02,17.27,-2.518,-4.076,0.029,0.029,0.115,152,,,,,,,,True,True,False,True
NGC6652,NGC6652,278.94,-32.991,1.53,-11.38,8.4034,GaiaEDR3plx,0.039785,-0.21996,-1.6581,1.6731,8.62,-6.52,-0.96,0.09,0.94,-111.7,1.8,0.65,8.5,16.31,-5.484,-4.274,0.027,0.027,0.119,319,,,,,,,,True,True,False,True
NGC6642,NGC6642,277.98,-23.475,9.81,-6.44,8.05,BH2018,0.39276,-1.3629,-0.90291,1.6814,9.13,-6.52,-1.35,0.4,1.11,-57.2,1.99,0.73,8.25,16.68,-0.173,-3.892,0.03,0.03,0.126,60,87200,1.77,1.5,6.9,27.5,8.36,-33,True,True,True,True
NGC6624,NGC6624,275.92,-30.361,2.79,-7.91,7,BH2018,1.3498,-0.33749,-0.96332,1.6923,7.87,-7.45,-0.42,0.27,1.11,53.9,2.5,0.82,8.5,15.42,0.124,-6.936,0.029,0.029,0.13,120,73100,1.02,1.49,6.1,24.4,8.4,54.7,True,True,True,True
NGC6401,NGC6401,264.65,-23.91,3.45,3.98,6.7114,GaiaEDR3plx,1.5919,-0.4029,0.46583,1.7069,9.45,-7.57,-1.12,0.85,1.58,-65,1.69,1.91,9.13,18.67,-2.748,1.444,0.035,0.034,0.149,40,,,,,,,,True,True,False,True
NGC6293,NGC6293,257.54,-26.582,357.62,7.83,9.5,BH2018,-1.1283,0.39083,1.2942,1.7609,8.22,-7.72,-1.92,0.39,0.96,-98.9,2.5,0.91,8.52,16.18,0.87,-4.326,0.028,0.028,0.127,194,1.88e+05,1.67,2.76,7.5,29.9,9.17,-142.6,True,True,True,True
TERZAN2,HP 3,261.89,-30.802,356.32,2.3,9.901,GaiaEDR3plx,-1.5976,0.63497,0.39734,1.7645,14.29,-5,-0.25,1.42,,109,2.5,1.52,8.55,21.58,-2.17,-6.263,0.041,0.038,0.101,63,,,,,,,,True,True,False,True
NGC6333,M 9,259.8,-18.516,5.54,10.7,7.4074,GaiaEDR3plx,1.0304,-0.70268,1.3753,1.8566,7.72,-7.99,-1.72,0.36,0.97,229.1,1.15,0.95,8.49,17.4,-2.18,-3.222,0.026,0.026,0.135,803,,,,,,,,True,True,False,True
TERZAN9,TERZAN9,270.41,-26.84,3.6,-1.99,6.4516,GaiaEDR3plx,1.84,-0.40486,-0.22403,1.8973,16,-3.88,-1,1.75,,59,2.5,0.78,,23.21,-2.121,-7.763,0.052,0.049,0.155,33,,,,,,,,True,True,False,True
1636-283,ESO452-SC11,249.85,-28.399,351.91,12.1,7.8,BH2018,0.72419,1.0733,1.635,2.0856,12,-3.96,,0.5,,16.4,,,,20.75,-1.423,-6.472,0.031,0.03,0.162,143,10600,3.38,3.66,1.6,6.3,8.73,16.4,True,True,True,True
NGC6558,NGC6558,272.57,-31.764,0.2,-6.03,6.3,BH2018,2.0099,-0.021869,-0.66181,2.1162,9.26,-6.08,-1.44,0.42,1.11,-143.7,2.5,1.61,9.13,17.08,-1.72,-4.144,0.036,0.034,0.149,56,29300,1.05,1.77,3.5,13.7,8.26,-195.6,True,True,True,True
NGC6287,NGC6287,256.29,-22.708,0.13,11.02,6.7114,GaiaEDR3plx,1.6874,-0.014947,1.2829,2.1197,9.35,-7.11,-2.05,0.59,1.2,-208,1.6,0.75,8.14,18.33,-5.01,-1.883,0.029,0.028,0.149,201,,,,,,,,True,True,False,True
NGC6453,NGC6453,267.71,-34.599,355.72,-3.87,10.204,GaiaEDR3plx,-1.8774,0.7598,-0.6887,2.1392,10.08,-7,-1.53,0.61,1.31,-83.7,2.5,0.37,7.97,17.35,0.203,-5.934,0.036,0.037,0.098,23,,,,,,,,True,True,False,True
NGC6681,M 70,280.8,-32.292,2.85,-12.51,9.2,BH2018,-0.69547,-0.44658,-1.9928,2.1574,7.87,-7.06,-1.51,0.07,0.72,218.6,2.5,0.93,8.4,15.28,1.431,-4.744,0.027,0.026,0.121,857,1.13e+05,2,2.1,7.1,26.4,8.76,217.4,True,True,True,True
NGC6266,M 62,255.3,-30.114,353.58,7.32,6.47,BH2018,1.898,0.71755,0.82435,2.1901,6.45,-9.14,-1.29,0.47,1.19,-65.8,1.7,1.23,8.55,15.35,-4.978,-2.947,0.026,0.026,0.185,1100,7.07e+05,2.57,1.83,15.2,60.9,9.13,-74.5,True,True,True,True
TON2,Pismis 26,264.04,-38.553,350.8,-3.42,6.4,BH2018,1.9686,1.0214,-0.38179,2.2504,12.24,-6.09,-0.5,1.24,,-183.8,1.3,1.08,,22.16,-5.904,-0.755,0.031,0.029,0.143,83,80100,5.31,4.45,2.9,11.8,9.18,-183.8,True,True,True,True
NGC6541,NGC6541,272.01,-43.715,349.29,-11.18,8.63,BH2018,-0.043749,1.5733,-1.6733,2.2972,6.3,-8.42,-1.83,0.12,0.76,-156.2,2,1.19,8.58,15.58,0.287,-8.847,0.025,0.025,0.145,2555,2.77e+05,1.42,2.61,8.7,36.5,9.21,-163.9,True,True,True,True
NGC6325,NGC6325,259.5,-23.766,0.97,8,6.1728,GaiaEDR3plx,2.1631,-0.10348,0.85909,2.3298,10.33,-7.3,-1.17,0.89,1.66,3.1,2.5,0.94,7.91,17.56,-8.289,-9,0.03,0.029,0.162,106,,,,,,,,True,True,False,True
PAL8,PAL8,280.38,-19.826,14.1,-6.8,8.6957,GaiaEDR3plx,-0.099343,-2.1035,-1.0296,2.3441,11.02,-5.47,-0.48,0.33,1.22,-43,1.53,0.57,9.02,19.83,-1.987,-5.694,0.027,0.027,0.115,133,,,,,,,,True,True,False,True
DJORG1,DJORG1,266.87,-33.066,356.67,-2.48,10.638,GaiaEDR3plx,-2.3354,0.61737,-0.46033,2.4591,13.6,-6.5,,1.7,,,1.5,1.26,,23.1,-4.693,-8.468,0.046,0.041,0.094,64,,,,,,,,True,True,False,True
NGC6380,Ton 1,263.62,-39.069,350.18,-3.42,10.101,GaiaEDR3plx,-1.6603,1.7197,-0.60257,2.4652,11.31,,,1.38,2.01,,1.55,0.75,7.65,19.96,-2.183,-3.233,0.031,0.03,0.099,109,,,,,,,,True,True,False,True
NGC6256,NGC6256,254.89,-37.121,347.79,3.31,6.4,BH2018,2.0302,1.3513,0.36952,2.4666,11.29,-6.16,-0.7,0.84,1.69,-99.6,2.5,0.85,8.41,17.89,-3.715,-1.637,0.031,0.03,0.162,102,72300,2.23,2.93,4.5,17.7,8.96,-99.6,True,True,True,True
NGC6717,Pal 9,283.77,-22.701,12.88,-10.9,8.547,GaiaEDR3plx,0.093361,-1.8708,-1.6162,2.474,9.28,-5.62,-1.29,0.21,1,22.8,2.07,0.68,8.14,16.48,-3.125,-5.008,0.027,0.027,0.117,284,,,,,,,,True,True,False,True
NGC6723,NGC6723,284.89,-36.632,0.07,-17.3,8.2,BH2018,0.44597,-0.009565,-2.4385,2.4789,7.01,-7.81,-1.12,0.05,0.75,-94.5,1.05,1.61,8.94,17.92,1.028,-2.418,0.025,0.025,0.132,2330,1.57e+05,1.77,3.5,5.3,19,9.14,-94.4,True,True,True,True
TERZAN3,TERZAN3,247.17,-35.353,345.08,9.19,7.5188,GaiaEDR3plx,1.1029,1.911,1.2008,2.5121,12,-6.1,,0.32,,-135.7,0.7,1.3,,22.52,-5.577,-1.76,0.027,0.026,0.133,331,54600,7.7,5.27,2.4,9.2,9.35,-135.7,True,True,True,True
NGC6540,Djorg 3,271.54,-27.765,3.29,-3.31,5.5556,GaiaEDR3plx,2.7379,-0.3183,-0.32077,2.7749,9.3,-5.3,-1,0.6,,,2.5,0.24,,16.4,-3.702,-2.791,0.032,0.032,0.18,17,,,,,,,,True,True,False,True
TERZAN4,HP 4,262.66,-31.596,356.02,1.31,11.111,GaiaEDR3plx,-2.8064,0.771,0.25402,2.9215,16,-6.04,-1.6,2.35,,-50,,,,,-5.462,-3.711,0.06,0.048,0.09,59,,,,,,,,True,True,False,True
NGC6626,M 28,276.14,-24.87,7.8,-5.58,5.5,BH2018,2.8517,-0.7429,-0.5348,2.995,6.79,-8.28,-1.45,0.41,1.08,17,1.67,1.56,8.78,16.08,-0.278,-8.922,0.028,0.028,0.2,321,3.69e+05,2.19,1.76,12.6,49.5,8.89,11,True,True,True,True
NGC6517,NGC6517,270.46,-8.959,19.23,6.76,8.6957,GaiaEDR3plx,0.12161,-2.8441,1.0236,3.0251,10.23,-8.23,-1.37,1.08,1.75,-39.6,1.82,0.62,7.89,17.77,-1.551,-4.47,0.029,0.028,0.115,147,,,,,,,,True,True,False,True
TERZAN12,TERZAN12,273.07,-22.742,8.36,-2.1,5.3476,GaiaEDR3plx,2.9878,-0.77698,-0.19596,3.0934,15.63,,,1.57,,,0.57,0.84,,23.75,-6.222,-3.052,0.037,0.034,0.187,136,,,,,,,,True,True,False,True
NGC6539,NGC6539,271.21,-7.586,20.8,6.78,8.4,BH2018,0.47738,-2.962,0.99168,3.1599,9.33,-8.25,-0.66,1,1.83,-45.6,1.6,1.67,8.38,19.31,-6.896,-3.537,0.026,0.026,0.131,392,2.5e+05,1.55,4.04,5.9,23.9,9.5,35.6,True,True,True,True
NGC6352,NGC6352,261.37,-48.422,341.42,-7.17,5.89,BH2018,2.7356,1.862,-0.73515,3.3899,7.96,-6.43,-0.7,0.21,1.06,-120.9,1.1,2,8.71,18.42,-2.158,-4.447,0.025,0.025,0.19,2335,93800,2.47,3.23,4.4,16.8,9.08,-140.1,True,True,True,True
NGC6553,NGC6553,272.32,-25.909,5.25,-3.02,4.9,BH2018,3.4023,-0.44774,-0.25815,3.4414,8.06,-7.73,-0.25,0.78,1.73,-6.5,1.17,1.55,8.33,18.15,0.344,-0.454,0.03,0.029,0.194,210,2.35e+05,3.13,2.02,8.5,32.8,8.87,0.5,True,True,True,True
NGC6316,NGC6316,259.15,-28.14,357.18,5.76,11.6,BH2018,-3.2525,0.56782,1.1642,3.5009,8.43,-8.58,-0.55,0.55,1.39,71.5,1.55,0.71,8.92,17.4,-4.969,-4.592,0.031,0.03,0.113,62,3.75e+05,2.1,2.72,9,35.9,9.32,99.1,True,True,True,True
NGC6171,M 107,248.13,-13.054,3.37,23.01,6.09,BH2018,2.6792,-0.32951,2.3805,3.5991,7.93,-7.08,-1.04,0.33,1.1,-33.8,1.51,2.7,8.75,18.84,-1.939,-5.979,0.025,0.025,0.194,1668,87000,2.16,3.11,4.3,16.4,8.95,-34.7,True,True,True,True
NGC6712,NGC6712,283.27,-8.706,25.35,-4.32,6.73,BH2018,2.2103,-2.8732,-0.50695,3.6603,8.1,-7.45,-1.01,0.46,1.17,-107.7,0.9,1.37,8.64,18.65,3.363,-4.436,0.027,0.027,0.146,291,1.27e+05,1.41,2.86,5,18.7,9.03,-107.5,True,True,True,True
NGC6139,NGC6139,246.92,-38.849,342.37,6.94,10.4,BH2018,-1.5639,3.1268,1.2566,3.715,8.99,-8.41,-1.65,0.74,1.4,6.7,1.8,0.82,8.59,17.3,-6.081,-2.711,0.027,0.026,0.112,336,3.59e+05,1.9,2.62,9.2,37.8,9.28,25,True,True,True,True
NGC6235,NGC6235,253.35,-22.177,358.92,13.52,11.236,GaiaEDR3plx,-2.6476,0.20591,2.6268,3.7353,9.97,-6.09,-1.4,0.36,1.05,87.3,1.33,0.84,8.56,18.98,-3.931,-7.587,0.027,0.027,0.089,270,,,,,,,,True,True,False,True
NGC6388,NGC6388,264.07,-44.736,345.56,-6.74,11,BH2018,-2.3039,2.7241,-1.291,3.7941,6.72,-9.77,-0.6,0.38,1.17,81.2,1.7,0.67,8.7,14.55,-1.316,-2.709,0.026,0.026,0.1,537,1.06e+06,1.93,1.96,18.2,74.2,9.28,83.4,True,True,True,True
NGC6809,M 55,295,-30.965,8.8,-23.27,5.75,BH2018,3.0549,-0.80811,-2.2716,3.8918,6.32,-7.5,-1.81,0.07,0.72,174.8,0.76,2.89,8.89,19.13,-3.432,-9.311,0.024,0.024,0.209,7483,1.88e+05,2.38,4.7,4.8,17,9.51,174.8,True,True,True,True
NGC6569,NGC6569,273.41,-31.827,0.48,-6.68,12,BH2018,-3.6431,-0.099847,-1.3959,3.9027,8.55,-7.83,-0.86,0.56,1.34,-28.1,1.27,1.33,8.57,18.08,-4.125,-7.354,0.028,0.028,0.112,102,3.02e+05,1.98,2.94,7.5,28.4,9.29,-49.9,True,True,True,True
NGC6441,NGC6441,267.55,-37.051,353.53,-5.01,12,BH2018,-3.603,1.347,-1.048,3.9868,7.15,-9.18,-0.53,0.45,1.27,18.3,1.85,0.64,8.66,14.99,-2.551,-5.348,0.028,0.028,0.083,119,1.23e+06,2.05,2.03,18.8,75.8,9.35,17.1,True,True,True,True
NGC5986,NGC5986,236.51,-37.786,337.02,13.27,9,BH2018,0.21047,3.4199,2.0659,4.0009,7.52,-8.38,-1.67,0.27,0.9,88.9,1.22,1.05,8.78,17.56,-4.192,-4.568,0.026,0.026,0.111,1118,3.01e+05,2.45,2.44,8.3,31.1,9.12,101,True,True,True,True
NGC6535,NGC6535,270.96,-0.298,27.18,10.44,7.28,BH2018,1.9061,-3.2704,1.3192,4.0086,10.47,-4.68,-1.8,0.32,0.94,-215.1,1.3,0.77,8.05,20.22,-4.214,-2.939,0.027,0.026,0.163,400,20000,4.8,2.22,2.8,11.1,8.39,-214.9,True,True,True,True
NGC6093,M 80,244.26,-22.976,352.67,19.46,10.5,BH2018,-1.5443,1.2631,3.4981,4.027,7.33,-7.92,-1.62,0.18,0.84,9.3,1.95,0.65,8.32,15.19,-2.934,-5.578,0.027,0.026,0.102,1247,2.49e+05,1.43,1.83,9.5,40.2,8.94,11.2,True,True,True,True
NGC6402,M 14,264.4,-3.246,21.32,14.81,9.3,BH2018,-0.10074,-3.2689,2.3772,4.0432,7.59,-8.97,-1.39,0.6,1.25,-66.1,1.6,1.29,9.19,18.41,-3.59,-5.059,0.025,0.025,0.129,646,7.74e+05,2.2,3.57,11.1,39,9.6,-60.7,True,True,True,True
NGC6496,NGC6496,269.76,-44.266,348.02,-10.01,11.69,BH2018,-2.9863,2.3896,-2.032,4.3309,8.54,-7.18,-0.64,0.13,0.98,-112.7,0.7,1.87,8.46,20.1,-3.06,-9.271,0.027,0.026,0.119,461,1.06e+05,2.79,5.05,3.4,12.2,9.47,-134.7,True,True,True,True
LYNGA7,LYNGA7,242.76,-55.318,328.77,-2.79,8.2645,GaiaEDR3plx,1.2165,4.2798,-0.40228,4.4675,,,-0.62,0.73,,8,,,,,-3.851,-7.05,0.027,0.027,0.121,147,,,,,,,,True,True,False,True
NGC6218,M 12,251.81,-1.949,15.72,26.31,5.22,BH2018,3.7708,-1.2678,2.3136,4.6021,6.7,-7.27,-1.48,0.19,0.83,-42.1,1.38,2.16,8.86,18.17,-0.191,-6.802,0.024,0.024,0.208,6213,86500,1.27,2.82,4.5,16.9,8.91,-41.2,True,True,True,True
NGC6254,M 10,254.29,-4.1,15.14,23.08,4.71,BH2018,4.0924,-1.1317,1.8464,4.6301,6.6,-7.43,-1.52,0.28,0.9,75.8,1.4,1.81,8.56,17.69,-4.758,-6.597,0.024,0.024,0.196,7269,1.84e+05,1.94,2.78,6.2,24.1,9.15,74,True,True,True,True
IC1276,Pal 7,272.68,-7.208,21.83,5.67,4,BH2018,4.58,-1.4801,0.39519,4.8294,10.34,-7.36,,0.92,1.76,155.3,1.29,2.35,9.15,21.66,-2.553,-4.568,0.026,0.026,0.21,581,54600,1.99,3.16,3.3,12.3,8.9,155.3,True,True,True,True
NGC6144,NGC6144,246.81,-26.023,351.93,15.7,12.02,BH2018,-3.182,1.6244,3.2526,4.8315,9.01,-7,-1.73,0.32,0.96,188.9,1.55,1.62,8.94,20.27,-1.744,-2.607,0.026,0.026,0.132,1586,46300,0.54,5.9,2.2,8,9.25,196,True,True,True,True
NGC5927,NGC5927,232,-50.673,326.6,4.86,8.4,BH2018,1.2875,4.6074,0.71166,4.8366,8.01,-7.8,-0.37,0.47,1.31,-115.7,1.6,1.15,8.71,17.45,-5.056,-3.217,0.025,0.025,0.127,1304,3.54e+05,2.61,4.98,6.5,24.9,9.54,-104.1,True,True,True,True
NGC5946,NGC5946,233.87,-50.66,327.58,4.19,8.9286,GaiaEDR3plx,0.75817,4.774,0.65236,4.8777,9.61,-7.55,-1.38,0.55,1.29,119.5,2.5,0.69,8.84,17.42,-5.331,-1.657,0.028,0.027,0.112,180,,,,,,,,True,True,False,True
TERZAN6,HP 5,267.69,-31.275,358.57,-2.16,13.158,GaiaEDR3plx,-4.8695,0.32813,-0.49592,4.9056,13.85,-6.84,-0.65,2.04,,126,2.5,0.44,,20.76,-4.979,-7.431,0.048,0.039,0.076,49,1.17e+05,1.15,1.48,8.7,32.8,8.45,136.6,True,True,True,True
NGC6760,NGC6760,287.8,1.03,36.11,-3.92,7.4,BH2018,2.3106,-4.3509,-0.50589,4.9523,8.88,-7.85,-0.52,0.78,1.66,-27.5,1.59,2.18,8.8,18.79,-1.107,-3.615,0.026,0.026,0.132,324,2.54e+05,2.29,2.82,7.2,28.6,9.24,-1.6,True,True,True,True
NGC6749,NGC6749,286.31,1.901,36.2,-2.2,7.8,BH2018,1.9853,-4.6033,-0.29942,5.0221,12.44,-6.65,-1.6,1.5,2.14,-58.5,0.83,1.1,,21.54,-2.829,-6.006,0.028,0.027,0.138,259,56800,1.45,3.37,3.2,11.8,8.98,-58.5,True,True,True,True
NGC6656,M 22,279.1,-23.905,9.89,-7.55,3.1,BH2018,5.2475,-0.52783,-0.40731,5.2897,5.1,-8.45,-1.64,0.34,0.98,-148.9,1.31,3.26,8.86,17.32,9.851,-5.617,0.023,0.023,0.306,4337,4.16e+05,2.15,3.26,8.4,32.3,9.45,-147.8,True,True,True,True
NGC6752,NGC6752,287.72,-59.985,336.5,-25.63,4.3,BH2018,4.7196,1.5459,-1.86,5.3033,5.4,-7.68,-1.55,0.04,0.66,-24.5,2.5,2.34,8.65,15.2,-3.161,-4.027,0.022,0.022,0.254,16348,2.39e+05,2.17,2.4,8.3,34.5,9.16,-26.2,True,True,True,True
NGC6362,NGC6362,262.98,-67.048,325.55,-17.57,8,BH2018,1.9858,4.3144,-2.415,5.3282,7.73,-6.92,-1.06,0.09,0.85,-13.1,1.1,2.18,8.83,19.19,-5.506,-4.763,0.024,0.024,0.136,5678,1.47e+05,2.6,5.77,3.9,14.2,9.51,-14.7,True,True,True,True
NGC6366,NGC6366,261.93,-5.08,18.41,16.04,3.3,BH2018,5.2658,-1.0016,0.91182,5.4372,9.2,-5.72,-0.82,0.69,1.44,-122.3,0.92,2.63,8.5,21.24,-0.332,-5.16,0.025,0.024,0.285,1663,47300,2.34,3.31,3,11.2,8.89,-120.9,True,True,True,True
NGC6544,NGC6544,271.84,-24.997,5.84,-2.2,2.46,BH2018,5.8296,-0.25012,-0.094434,5.8357,7.77,-6.51,-1.56,0.74,1.46,-27.3,1.63,1.77,7.82,17.13,-2.304,-18.604,0.031,0.03,0.399,322,63400,1.88,1.37,6.4,25.1,8.25,-36.4,True,True,True,True
NGC6397,NGC6397,265.18,-53.674,338.17,-11.96,2.48,BH2018,6.0228,0.90218,-0.51393,6.1117,5.73,-6.58,-1.95,0.18,0.73,18.9,2.5,2.33,8.35,15.65,3.26,-17.664,0.023,0.022,0.416,12318,88900,2.18,2.19,5.2,21.9,8.96,18.4,True,True,True,True
NGC6121,M 4,245.9,-26.526,350.97,15.97,2.14,BH2018,6.2431,0.32291,0.58879,6.2791,5.63,-7.15,-1.2,0.36,1.03,70.2,1.59,3.65,8.64,17.88,-12.514,-19.022,0.023,0.023,0.556,5210,96900,1.71,2.82,4.6,18.4,8.99,71,True,True,True,True
NGC5904,M 5,229.64,2.081,3.86,46.8,7.5,BH2018,3.1525,-0.34562,5.4673,6.3205,5.65,-8.76,-1.29,0.03,0.72,52.1,1.87,2.11,9.13,16.05,4.086,-9.87,0.023,0.023,0.141,9163,3.72e+05,1.52,3.61,7.7,29.9,9.45,53.8,True,True,True,True
NGC6584,NGC6584,274.66,-52.216,342.14,-16.41,13.18,BH2018,-3.7588,3.8775,-3.7235,6.5596,8.27,-7.63,-1.49,0.11,0.76,222.9,1.2,0.8,8.53,17.79,-0.09,-7.202,0.026,0.025,0.077,857,90700,1.12,2.98,4.2,16.6,9.12,222.9,True,True,True,True
NGC5139,omega Cen,201.7,-47.48,309.1,14.97,5.2,BH2018,5.1068,3.8985,1.3432,6.5637,3.68,-10.24,-1.62,0.12,0.78,232.3,1.24,4.18,9.72,16.77,-3.25,-6.746,0.022,0.022,0.193,53127,3.55e+06,2.9,7.04,17.6,62.1,10.39,232.7,True,True,True,True
NGC6838,M 71,298.44,18.779,56.74,-4.56,3.86,BH2018,6.1647,-3.2175,-0.30688,6.9606,8.19,-5.51,-0.73,0.25,1.09,-22.9,1.15,1.65,8.1,19.22,-3.416,-2.656,0.025,0.024,0.251,3021,49100,2.76,2.95,3.3,13.1,8.9,-22.5,True,True,True,True
NGC6356,NGC6356,260.9,-17.813,6.72,10.22,15.1,BH2018,-6.4833,-1.7389,2.6792,7.2274,8.25,-8.48,-0.5,0.29,1.13,27,1.54,0.74,9.11,17.09,-3.75,-3.392,0.026,0.026,0.096,441,3.98e+05,1.62,3.71,7.8,30.7,9.54,37.6,True,True,True,True
NGC7099,M 30,325.09,-23.18,27.18,-46.83,8.1,BH2018,3.3452,-2.5314,-5.9075,7.2455,7.19,-7.38,-2.12,0.03,0.6,-184.2,2.5,1.15,8.55,15.28,-0.737,-7.299,0.025,0.024,0.136,2990,1.33e+05,1.85,2.44,5.5,22.9,9.26,-185.3,True,True,True,True
NGC6284,NGC6284,256.12,-24.765,358.35,9.94,15.3,BH2018,-6.7891,0.43393,2.641,7.2976,8.83,-7.82,-1.32,0.28,0.99,29.7,2.5,0.78,8.54,16.65,-3.2,-2.002,0.029,0.028,0.098,152,5.51e+05,3.42,3.91,8.9,36.2,9.67,29,True,True,True,True
NGC4372,NGC4372,186.44,-72.659,300.99,-9.88,6.3,BH2018,5.0793,5.3206,-1.081,7.4348,7.24,-7.52,-2.09,0.42,1.1,72.3,1.3,3.9,9.23,20.51,-6.409,3.297,0.024,0.024,0.187,2552,2.49e+05,1.89,6.34,4.9,16.4,9.77,75.3,True,True,True,True
NGC104,47 Tuc,6.024,-72.081,305.9,-44.89,4.41,BH2018,6.443,2.5308,-3.1123,7.5897,3.95,-9.37,-0.76,0.05,0.88,-18.7,2.04,2.79,9.24,14.43,5.252,-2.551,0.021,0.021,0.232,39932,7.79e+05,1.77,3.57,12.2,49.9,9.58,-17.2,True,True,True,True
PAL10,PAL10,289.51,18.572,52.44,2.72,8.9286,GaiaEDR3plx,2.8383,-7.0698,0.42371,7.6301,13.22,-5.74,-0.1,1.66,,,0.58,0.99,,22.03,-4.322,-7.173,0.029,0.029,0.112,117,,,,,,,,True,True,False,True
NGC5897,NGC5897,229.35,-21.01,342.95,30.29,13.43,BH2018,-2.8119,3.4002,6.7738,8.0841,8.53,-7.24,-1.8,0.08,0.74,101.5,0.79,2.11,9.31,20.49,-5.422,-3.393,0.025,0.025,0.105,2234,2.03e+05,3.05,8.02,3.9,13.2,9.92,101.2,True,True,True,True
BH176,BH176,234.78,-50.05,328.41,4.34,13.889,GaiaEDR3plx,-3.5219,7.2547,1.051,8.1326,14,-4.3,,0.77,,,,,,23.36,-3.989,-3.057,0.029,0.029,0.072,90,,,,,,,,True,True,False,True
NGC4833,NGC4833,194.89,-70.877,303.61,-8.01,9,BH2018,3.3418,7.4223,-1.2541,8.2359,6.91,-7.96,-1.79,0.33,0.93,200.2,1.25,2.41,8.77,18.45,-8.377,-0.963,0.025,0.025,0.164,2941,2.47e+05,0.84,6.75,4.8,17.9,9.63,202,True,True,True,True
NGC6205,M 13,250.42,36.46,59.01,40.91,6.6,BH2018,5.7068,-4.2759,4.3222,8.3386,5.78,-8.5,-1.54,0.02,0.68,-246.6,1.49,1.49,8.96,16.8,-3.149,-2.574,0.023,0.023,0.127,9638,4.53e+05,2.61,3.08,9.2,33.4,9.36,-244.4,True,True,True,True
NGC6981,M 72,313.37,-12.537,35.16,-32.68,11.905,GaiaEDR3plx,0.08299,-5.7703,-6.4279,8.6384,9.27,-7.01,-1.54,0.05,0.72,-345.1,1.23,0.88,8.93,18.9,-1.274,-3.361,0.026,0.026,0.084,765,,,,,,,,True,True,False,True
